Geographic area,Population_thousands
Afghanistan,37172
Albania,2883
Algeria,42228
American Samoa,55
Andorra,77
Angola,30810
Anguilla,15
Antigua and Barbuda,96
Argentina,44361
Armenia,2952
Aruba,106
Australia,24898
Austria,8891
Azerbaijan,9950
Bahamas,386
Bahrain,1569
Bangladesh,161377
Barbados,287
Belarus,9453
Belgium,11482
Belize,383
Benin,11485
Bermuda,63
Bhutan,754
Bolivia (Plurinational State of),11353
"Bonaire, Sint Eustatius and Saba",26
Bosnia and Herzegovina,3324
Botswana,2254
Brazil,209469
British Virgin Islands,30
Brunei Darussalam,429
Bulgaria,7052
Burkina Faso,19751
Burundi,11175
Cabo Verde,544
Cambodia,16250
Cameroon,25216
Canada,37075
Cayman Islands,64
Central African Republic,4666
Chad,15478
Channel Islands,170
Chile,18729
China,1427648
"China, Hong Kong SAR",7372
Colombia,49661
Comoros,832
Congo,5244
Cook Islands,18
Costa Rica,4999
Croatia,4156
Cuba,11338
Curaçao,163
Cyprus,1189
Czechia,10666
Côte d'Ivoire,25069
Democratic People's Republic of Korea,25550
Democratic Republic of the Congo,84068
Denmark,5752
Djibouti,959
Dominica,72
Dominican Republic,10627
East Asia and Pacific,2363341
Eastern Europe and Central Asia,423215
Eastern and Southern Africa,560914
Ecuador,17084
Egypt,98424
El Salvador,6421
Equatorial Guinea,1309
Eritrea,3453
Estonia,1323
Eswatini,1136
Ethiopia,109224
Europe and Central Asia,918905
Falkland Islands (Malvinas),3
Faroe Islands,48
Fiji,883
Finland,5523
France,64991
French Guiana,283
French Polynesia,278
Gabon,2119
Gambia,2280
Georgia,4003
Germany,83124
Ghana,29767
Gibraltar,34
Greece,10522
Greenland,57
Grenada,111
Guadeloupe,400
Guam,166
Guatemala,17248
Guinea,12414
Guinea-Bissau,1874
Guyana,779
Haiti,11123
Holy See,<1
Honduras,9588
Hungary,9708
Iceland,337
India,1352642
Indonesia,267671
Iran (Islamic Republic of),81800
Iraq,38434
Ireland,4819
Isle of Man,84
Israel,8382
Italy,60627
Jamaica,2935
Japan,127202
Jordan,9965
Kazakhstan,18320
Kenya,51393
Kiribati,116
Kuwait,4137
Kyrgyzstan,6304
Lao People's Democratic Republic,7061
Latin America and Caribbean,642217
Latvia,1928
Lebanon,6859
Lesotho,2108
Liberia,4819
Libya,6679
Liechtenstein,38
Lithuania,2801
Luxembourg,604
Macao,632
Madagascar,26262
Malawi,18143
Malaysia,31528
Maldives,516
Mali,19078
Malta,439
Marshall Islands,58
Martinique,376
Mauritania,4403
Mauritius,1267
Mayotte,260
Mexico,126191
Micronesia (Federated States of),113
Middle East and North Africa,447891
Monaco,39
Mongolia,3170
Montenegro,628
Montserrat,5
Morocco,36029
Mozambique,29496
Myanmar,53708
Namibia,2448
Nauru,11
Nepal,28096
Netherlands,17060
New Caledonia,280
New Zealand,4743
Nicaragua,6466
Niger,22443
Nigeria,195875
Niue,2
North America,364296
North Macedonia,2083
Northern Mariana Islands,57
Norway,5338
Oman,4829
"Other, non specified",23726
Pakistan,212228
Palau,18
Panama,4177
Papua New Guinea,8606
Paraguay,6956
Least developed countries,1009691
Peru,31989
Philippines,106651
Poland,37922
Portugal,10256
Puerto Rico,3040
Qatar,2782
Republic of Korea,51172
Republic of Moldova,4052
Romania,19506
Russian Federation,145734
Rwanda,12302
Réunion,883
Saint Barthélemy,10
"Saint Helena, Ascension and Tristan da Cunha",6
Saint Kitts and Nevis,52
Saint Lucia,182
Saint Martin (French part),37
Saint Pierre and Miquelon,6
Saint Vincent and the Grenadines,110
Samoa,196
San Marino,34
Sao Tome and Principe,211
Saudi Arabia,33703
Senegal,15854
Serbia,8803
Seychelles,97
Sierra Leone,7650
Singapore,5758
Slovakia,5453
Slovenia,2078
Solomon Islands,653
Somalia,15008
South Africa,57793
South Asia,1814014
South Sudan,10976
Spain,46693
Sri Lanka,21229
State of Palestine,4863
Sudan,41802
Suriname,576
Sweden,9972
Switzerland,8526
Syrian Arab Republic,16945
Tajikistan,9101
Thailand,69428
Timor-Leste,1268
Togo,7889
Tokelau,1
Tonga,103
Trinidad and Tobago,1390
Tunisia,11565
Turkey,82340
Turkmenistan,5851
Turks and Caicos Islands,38
Tuvalu,12
Uganda,42729
Ukraine,44246
United Arab Emirates,9631
United Kingdom,67142
United Republic of Tanzania,56313
United States,327096
Uruguay,3449
Uzbekistan,32476
Vanuatu,293
Venezuela (Bolivarian Republic of),28887
Viet Nam,95546
Virgin Islands U.S.,105
Wallis and Futuna,12
West and Central Africa,519515
Western Europe,495690
World,7631091
Yemen,28499
Zambia,17352
Zimbabwe,14439
Sub-Saharan Africa,1080429
Sint Maarten,42
